model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9
xgboost_old_script,base+descriptors,yes,10,0,10,204,0.2900779987346694,2.261271815719566,10.171338878011207,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Mn-FeMoO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,SiO2,Y-Na2WO4/SiO2,2.0808866608818923,1.924214213380107,2.3191406981867773,1.5303006032550774,5.102448771038541,2.0413962340796434,1.619557994140519,2.052088801772506,0.7990888861704756,3.143595294290119
xgboost_old_script,base+descriptors,no,10,0,10,204,0.1895043864666751,2.5272430838960465,11.61229759001082,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Mn-FeMoO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,SiO2,Y-Na2WO4/SiO2,2.2762708567207057,1.9147787578624704,4.57925920487554,1.7572815906008086,4.073435309363736,2.0224434597072776,1.5287515179205824,2.1709132698840565,1.3293110272343511,3.619985844790936
xgboost_old_script,all,yes,10,0,10,204,0.3059205188171898,2.2088309047673915,9.944356702287951,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Mn-FeMoO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,SiO2,Y-Na2WO4/SiO2,2.0609421231694243,1.8160962221247177,2.3630171160888858,1.5093877753670568,4.975823537240978,1.7872852869607785,1.640723886843081,1.9978966156531264,0.7961692230196463,3.1409672612062205
xgboost_old_script,all,no,10,0,10,204,0.2096251882384999,2.5124626933107224,11.32401874676642,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Mn-FeMoO4/SiO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/SiCnf,Mn-Na2WO4/TiO2,SiO2,Y-Na2WO4/SiO2,2.2950926037629444,1.7557132791920946,4.873426668991645,1.8776102054891763,3.985193221803617,2.092608328881087,1.5558312920067043,2.199135996622068,1.2864433413136889,3.203571995044196
xgboost_old_script,base+atom_numbers+support,yes,10,0,10,205,0.467792297870077,1.9129818572751072,5.873190435629949,La-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/BEA,Mn-WOx/SiO2,SiC,SiCnf,Y-Na2WO4/SiO2,ZSM-5,Zn-Na2WO4/SiO2,Zr-Na2WO4/SiO2,1.6659834299208942,2.502423486466761,1.762970455509645,2.2837317354176885,2.1378323261888217,1.6945079006923849,2.427042878661995,2.042396891666231,1.4517286261033129,1.1612008421233406
xgboost_old_script,base+atom_numbers+support,no,10,0,10,205,0.4457987398494758,1.9404534502044597,6.115900855067912,La-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/BEA,Mn-WOx/SiO2,SiC,SiCnf,Y-Na2WO4/SiO2,ZSM-5,Zn-Na2WO4/SiO2,Zr-Na2WO4/SiO2,1.6898775356676845,2.2472524919002144,1.6122528631046966,2.362773477876628,2.127191821872774,1.7050820451374682,3.030347585203472,1.6845340445775676,1.6009186716984818,1.3443039650056097
xgboost_old_script,base+descriptors,yes,10,0,10,205,0.2470006372399129,2.0906802915384373,8.30974192537778,La-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/BEA,Mn-WOx/SiO2,SiC,SiCnf,Y-Na2WO4/SiO2,ZSM-5,Zn-Na2WO4/SiO2,Zr-Na2WO4/SiO2,1.933106823878156,4.730505617443058,1.9429191456459185,1.154566655445982,2.406965604159567,1.4056301220258076,3.1833444931164934,1.2285179232888752,1.5073134875352736,1.4139330428452406
xgboost_old_script,base+descriptors,no,10,0,10,205,0.2608293617667944,2.11301796859558,8.157134715254365,La-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/BEA,Mn-WOx/SiO2,SiC,SiCnf,Y-Na2WO4/SiO2,ZSM-5,Zn-Na2WO4/SiO2,Zr-Na2WO4/SiO2,1.9374576149101332,3.8951182125508783,1.7086909464884688,2.6155651287458563,2.0379416827802306,1.5438469020194476,3.1206191371484766,1.0426889006593438,1.7789723284045853,1.4492788322483776
xgboost_old_script,all,yes,10,0,10,205,0.2391112966994761,2.1205424099352763,8.396804925819307,La-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/BEA,Mn-WOx/SiO2,SiC,SiCnf,Y-Na2WO4/SiO2,ZSM-5,Zn-Na2WO4/SiO2,Zr-Na2WO4/SiO2,1.9397624431660885,4.778694216700753,1.856196459211685,1.1215319897731146,2.303722432134328,1.4962320301267835,3.1631952944232355,1.6714014521351568,1.4724100925193893,1.4022776891622275
xgboost_old_script,all,no,10,0,10,205,0.3957103466343267,1.9744226816535968,6.668652479649757,La-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/BEA,Mn-WOx/SiO2,SiC,SiCnf,Y-Na2WO4/SiO2,ZSM-5,Zn-Na2WO4/SiO2,Zr-Na2WO4/SiO2,1.8033884871833852,2.6000346357292603,1.7655456020324318,2.6488513334481807,2.0007158520928137,1.6127972510015522,3.0434405185061477,1.4095711937346669,1.5307158061420476,1.3291661366654768
